Date, Open, High, Low, Close
06/17/22, 14285.22, 14285.22, 14285.22, 14285.22
06/16/22, 14040.12, 14040.12, 14040.12, 14040.12
06/15/22, 14158.64, 14158.64, 14158.64, 14158.64
06/14/22, 13945.82, 13945.82, 13945.82, 13945.82
06/13/22, 13798.50, 13798.50, 13798.50, 13798.50
06/10/22, 14100.30, 14100.30, 14100.30, 14100.30
06/09/22, 13877.97, 13877.97, 13877.97, 13877.97
06/08/22, 14012.39, 14012.39, 14012.39, 14012.39
06/07/22, 13836.71, 13836.71, 13836.71, 13836.71
06/06/22, 13733.16, 13733.16, 13733.16, 13733.16
06/03/22, 13514.18, 13514.18, 13514.18, 13514.18
06/02/22, 13514.18, 13514.18, 13514.18, 13514.18
06/01/22, 13560.12, 13560.12, 13560.12, 13560.12
05/31/22, 13593.74, 13593.74, 13593.74, 13593.74
05/30/22, 13383.47, 13383.47, 13383.47, 13383.47
05/27/22, 13261.36, 13261.36, 13261.36, 13261.36
05/26/22, 13168.64, 13168.64, 13168.64, 13168.64
05/25/22, 13196.89, 13196.89, 13196.89, 13196.89
05/24/22, 13150.69, 13150.69, 13150.69, 13150.69
05/23/22, 13396.57, 13396.57, 13396.57, 13396.57
05/20/22, 13528.05, 13528.05, 13528.05, 13528.05
05/19/22, 13202.07, 13202.07, 13202.07, 13202.07
05/18/22, 13246.39, 13246.39, 13246.39, 13246.39
05/17/22, 13330.40, 13330.40, 13330.40, 13330.40
05/16/22, 13159.33, 13159.33, 13159.33, 13159.33
05/13/22, 13296.03, 13296.03, 13296.03, 13296.03
05/12/22, 13153.70, 13153.70, 13153.70, 13153.70
05/11/22, 13230.77, 13230.77, 13230.77, 13230.77
05/10/22, 13045.56, 13045.56, 13045.56, 13045.56
05/09/22, 12942.53, 12942.53, 12942.53, 12942.53
05/06/22, 13103.98, 13103.98, 13103.98, 13103.98
05/05/22, 13463.92, 13463.92, 13463.92, 13463.92
05/04/22, 13516.30, 13516.30, 13516.30, 13516.30
05/03/22, 13516.30, 13516.30, 13516.30, 13516.30
05/02/22, 13516.30, 13516.30, 13516.30, 13516.30
04/29/22, 13516.30, 13516.30, 13516.30, 13516.30
04/28/22, 13365.55, 13365.55, 13365.55, 13365.55
04/27/22, 13222.45, 13222.45, 13222.45, 13222.45
04/26/22, 12956.29, 12956.29, 12956.29, 12956.29
04/25/22, 12904.25, 12904.25, 12904.25, 12904.25
04/22/22, 13508.74, 13508.74, 13508.74, 13508.74
04/21/22, 13397.62, 13397.62, 13397.62, 13397.62
04/20/22, 13552.71, 13552.71, 13552.71, 13552.71
04/19/22, 13724.22, 13724.22, 13724.22, 13724.22
04/18/22, 13811.12, 13811.12, 13811.12, 13811.12
04/15/22, 13982.81, 13982.81, 13982.81, 13982.81
04/14/22, 13999.03, 13999.03, 13999.03, 13999.03
04/13/22, 13822.16, 13822.16, 13822.16, 13822.16
04/12/22, 13872.31, 13872.31, 13872.31, 13872.31
04/11/22, 13569.10, 13569.10, 13569.10, 13569.10
04/08/22, 13931.72, 13931.72, 13931.72, 13931.72
04/07/22, 13851.08, 13851.08, 13851.08, 13851.08
04/06/22, 13968.18, 13968.18, 13968.18, 13968.18
04/05/22, 14009.59, 14009.59, 14009.59, 14009.59
04/04/22, 14009.59, 14009.59, 14009.59, 14009.59
04/01/22, 14009.59, 14009.59, 14009.59, 14009.59
03/31/22, 13750.58, 13750.58, 13750.58, 13750.58
03/30/22, 13803.33, 13803.33, 13803.33, 13803.33
03/29/22, 13389.73, 13389.73, 13389.73, 13389.73
03/28/22, 13420.67, 13420.67, 13420.67, 13420.67
