Date, Open, High, Low, Close
06/20/22, 26156.62, 26156.62, 25520.23, 25771.22
06/17/22, 25988.20, 26072.35, 25720.80, 25963.00
06/16/22, 26715.52, 26947.70, 26431.20, 26431.20
06/15/22, 26625.68, 26638.76, 26321.68, 26326.16
06/14/22, 26555.75, 26657.92, 26357.90, 26629.86
06/13/22, 27369.66, 27389.30, 26948.22, 26987.44
06/10/22, 27996.35, 28044.45, 27795.17, 27824.29
06/09/22, 28189.35, 28389.75, 28189.35, 28246.53
06/08/22, 28100.26, 28234.29, 28089.78, 28234.29
06/07/22, 27984.79, 28094.73, 27863.38, 27943.95
06/06/22, 27549.64, 27979.54, 27523.95, 27915.89
06/03/22, 27660.62, 27776.33, 27614.86, 27761.57
06/02/22, 27340.52, 27450.47, 27251.24, 27413.88
06/01/22, 27295.63, 27482.31, 27295.42, 27457.89
05/31/22, 27318.09, 27463.33, 27250.70, 27279.80
05/30/22, 27092.82, 27401.24, 27057.20, 27369.43
05/27/22, 26947.80, 26996.70, 26731.60, 26781.68
05/26/22, 26685.02, 26898.75, 26597.97, 26604.84
05/25/22, 26711.53, 26795.89, 26578.03, 26677.80
05/24/22, 27005.43, 27005.43, 26736.01, 26748.14
05/23/22, 26991.42, 27047.47, 26832.65, 27001.52
05/20/22, 26448.23, 26769.20, 26426.99, 26739.03
05/19/22, 26435.32, 26458.85, 26150.09, 26402.84
05/18/22, 26826.82, 27053.18, 26741.34, 26911.20
05/17/22, 26555.23, 26709.26, 26440.62, 26659.75
05/16/22, 26753.37, 26836.96, 26438.61, 26547.05
05/13/22, 25918.80, 26479.93, 25904.40, 26427.65
05/12/22, 25945.04, 26028.36, 25688.11, 25748.72
05/11/22, 26045.38, 26290.62, 26003.26, 26213.64
05/10/22, 26149.06, 26246.63, 25773.83, 26167.10
05/09/22, 26705.32, 26732.61, 26309.22, 26319.34
05/06/22, 26784.29, 27072.59, 26543.29, 27003.56
05/02/22, 26851.10, 26964.59, 26610.86, 26818.53
04/28/22, 26430.28, 26876.95, 26348.36, 26847.90
04/27/22, 26313.14, 26406.62, 26051.04, 26386.63
04/26/22, 26743.21, 26808.99, 26592.99, 26700.11
04/25/22, 26692.48, 26764.48, 26487.84, 26590.78
04/22/22, 27197.80, 27205.83, 26904.38, 27105.26
04/21/22, 27259.14, 27580.64, 27252.83, 27553.06
04/20/22, 27210.79, 27389.84, 27066.18, 27217.85
04/19/22, 27096.49, 27100.59, 26777.71, 26985.09
04/18/22, 26831.45, 26851.80, 26571.38, 26799.71
04/15/22, 26932.48, 27203.77, 26784.92, 27093.19
04/14/22, 26925.64, 27200.89, 26890.68, 27172.00
04/13/22, 26436.06, 26885.87, 26429.47, 26843.49
04/12/22, 26606.87, 26674.86, 26304.08, 26334.98
04/11/22, 26877.60, 27004.50, 26720.46, 26821.52
04/08/22, 27097.05, 27185.23, 26764.36, 26985.80
04/07/22, 27032.42, 27042.49, 26801.79, 26888.57
04/06/22, 27533.88, 27549.67, 27214.61, 27350.30
04/05/22, 27965.94, 27965.94, 27662.28, 27787.98
04/04/22, 27685.65, 27754.24, 27578.81, 27736.47
04/01/22, 27624.11, 27738.31, 27399.48, 27665.98
03/31/22, 27809.97, 28101.68, 27763.96, 27821.43
03/30/22, 28250.80, 28281.45, 27736.27, 28027.25
03/29/22, 28173.43, 28252.42, 28063.92, 28252.42
03/28/22, 28084.08, 28084.08, 27812.67, 27943.89
03/25/22, 28338.81, 28338.81, 27946.79, 28149.84
03/24/22, 27693.77, 28110.39, 27624.62, 28110.39
03/23/22, 27606.79, 28056.20, 27604.37, 28040.16
03/22/22, 27091.32, 27284.47, 27076.33, 27224.11
03/18/22, 26649.50, 26862.43, 26592.98, 26827.43
03/17/22, 26170.38, 26702.94, 26152.89, 26652.89
03/16/22, 25574.90, 25824.94, 25470.46, 25762.01
03/15/22, 25228.53, 25441.67, 25219.13, 25346.48
03/14/22, 25338.64, 25631.01, 25299.64, 25307.85
03/11/22, 25495.03, 25503.65, 24966.50, 25162.78
03/10/22, 25108.47, 25720.31, 25099.85, 25690.40
03/09/22, 24876.49, 25084.08, 24681.74, 24717.53
03/08/22, 24974.35, 25291.33, 24767.33, 24790.95
03/07/22, 25634.09, 25640.41, 25006.26, 25221.41
03/04/22, 26421.85, 26421.85, 25774.28, 25985.47
03/03/22, 26628.87, 26704.85, 26496.72, 26577.27
03/02/22, 26532.20, 26585.30, 26313.72, 26393.03
03/01/22, 26836.74, 27013.26, 26821.75, 26844.72
02/28/22, 26457.52, 26644.56, 26262.63, 26526.82
02/25/22, 26213.20, 26481.60, 26160.19, 26476.50
02/24/22, 26281.35, 26357.58, 25775.64, 25970.82
02/22/22, 26515.45, 26550.14, 26243.73, 26449.61
02/21/22, 26771.58, 26998.47, 26549.00, 26910.87
02/18/22, 26895.16, 27216.16, 26792.54, 27122.07
02/17/22, 27431.42, 27438.74, 27080.92, 27232.87
02/16/22, 27269.05, 27486.09, 27227.24, 27460.40
02/15/22, 27183.56, 27205.20, 26724.91, 26865.19
02/14/22, 27305.92, 27325.50, 26947.65, 27079.59
02/10/22, 27818.10, 27880.70, 27575.07, 27696.08
02/09/22, 27488.65, 27633.10, 27405.88, 27579.87
02/08/22, 27318.30, 27461.33, 27280.25, 27284.52
02/07/22, 27327.63, 27369.68, 27085.32, 27248.87
02/04/22, 27095.90, 27455.98, 27075.99, 27439.99
02/03/22, 27330.96, 27357.33, 27165.93, 27241.31
02/02/22, 27302.99, 27564.62, 27289.16, 27533.60
02/01/22, 27167.14, 27410.79, 27016.71, 27078.48
01/31/22, 26690.60, 27134.57, 26541.65, 27001.98
01/28/22, 26429.85, 26764.85, 26289.69, 26717.34
01/27/22, 27139.88, 27193.59, 26044.52, 26170.30
01/26/22, 27105.98, 27184.54, 26858.68, 27011.33
01/25/22, 27466.82, 27493.75, 26890.94, 27131.34
01/24/22, 27258.45, 27627.60, 27203.33, 27588.37
01/21/22, 27404.36, 27586.42, 27129.61, 27522.26
01/20/22, 27401.43, 27882.53, 27217.59, 27772.93
01/19/22, 27928.89, 27958.17, 27314.41, 27467.23
01/18/22, 28451.34, 28690.34, 28129.66, 28257.25
01/17/22, 28332.72, 28449.99, 28274.18, 28333.52
01/14/22, 28246.99, 28252.96, 27889.21, 28124.28
01/13/22, 28658.22, 28660.45, 28444.96, 28489.13
01/12/22, 28449.53, 28814.31, 28427.60, 28765.66
01/11/22, 28380.90, 28473.47, 28089.49, 28222.48
01/07/22, 28711.53, 28813.09, 28293.70, 28478.56
01/06/22, 29136.75, 29158.95, 28487.87, 28487.87
01/05/22, 29288.80, 29388.16, 29204.45, 29332.16
01/04/22, 29098.41, 29323.79, 28954.56, 29301.79
12/30/21, 28794.24, 28904.42, 28579.49, 28791.71
12/29/21, 28995.73, 29106.28, 28729.61, 28906.88
12/28/21, 28953.32, 29121.01, 28879.68, 29069.16
12/27/21, 28786.33, 28805.28, 28658.82, 28676.46
12/24/21, 28836.05, 28870.13, 28773.50, 28782.59
12/23/21, 28703.01, 28798.37, 28640.15, 28798.37
12/22/21, 28614.06, 28673.77, 28473.85, 28562.21
12/21/21, 28309.60, 28533.74, 28226.43, 28517.59
12/20/21, 28325.46, 28441.51, 27893.18, 27937.81
12/17/21, 28854.60, 28904.94, 28503.08, 28545.68
12/16/21, 28868.37, 29070.08, 28782.19, 29066.32
12/15/21, 28358.47, 28525.83, 28358.47, 28459.72
12/14/21, 28554.86, 28672.96, 28309.67, 28432.64
12/13/21, 28705.26, 28793.32, 28593.45, 28640.49
12/10/21, 28542.50, 28699.01, 28392.87, 28437.77
12/09/21, 28827.32, 28908.29, 28725.47, 28725.47
12/08/21, 28792.89, 28897.44, 28621.47, 28860.62
12/07/21, 28138.82, 28618.46, 27961.66, 28455.60
12/06/21, 28069.96, 28081.04, 27693.91, 27927.37
12/03/21, 27841.05, 28029.57, 27588.61, 28029.57
12/02/21, 27716.20, 27938.55, 27644.96, 27753.37
12/01/21, 27866.73, 28106.30, 27594.01, 27935.62
11/30/21, 28611.73, 28718.70, 27819.14, 27821.76
11/29/21, 28337.96, 28776.34, 28187.12, 28283.92
11/26/21, 29324.47, 29332.99, 28605.61, 28751.62
11/25/21, 29469.65, 29570.42, 29444.45, 29499.28
11/24/21, 29663.45, 29758.05, 29212.93, 29302.66
11/22/21, 29618.55, 29806.49, 29542.29, 29774.11
11/19/21, 29641.05, 29768.54, 29589.19, 29745.87
11/18/21, 29597.93, 29715.95, 29402.57, 29598.66
11/17/21, 29906.68, 29909.97, 29623.79, 29688.33
11/16/21, 29749.71, 29960.93, 29681.25, 29808.12
11/15/21, 29807.37, 29861.88, 29718.21, 29776.80
11/12/21, 29381.45, 29661.22, 29381.45, 29609.97
11/11/21, 29046.19, 29336.03, 29040.08, 29277.86
11/10/21, 29209.06, 29296.88, 29079.77, 29106.78
11/09/21, 29557.55, 29750.46, 29240.31, 29285.46
11/08/21, 29735.45, 29735.45, 29507.05, 29507.05
11/05/21, 29840.73, 29840.73, 29504.07, 29611.57
11/04/21, 29859.74, 29880.81, 29718.78, 29794.37
11/02/21, 29462.40, 29599.57, 29457.18, 29520.90
11/01/21, 29330.68, 29666.83, 29267.63, 29647.08
10/29/21, 28819.16, 29000.65, 28475.06, 28892.69
10/28/21, 28871.61, 28895.11, 28693.06, 28820.09
10/27/21, 29056.01, 29139.22, 28870.25, 29098.24
10/26/21, 28927.61, 29160.76, 28893.95, 29106.01
10/25/21, 28527.13, 28668.70, 28472.55, 28600.41
10/22/21, 28578.53, 28989.50, 28546.57, 28804.85
10/21/21, 29152.74, 29220.82, 28688.78, 28708.58
10/20/21, 29385.95, 29489.11, 29222.32, 29255.55
10/19/21, 29117.28, 29272.49, 29075.37, 29215.52
10/18/21, 29093.82, 29144.33, 28924.40, 29025.46
10/15/21, 28787.26, 29082.35, 28726.22, 29068.63
10/14/21, 28264.41, 28576.68, 28234.01, 28550.93
10/13/21, 28085.44, 28364.99, 27993.46, 28140.28
10/12/21, 28458.88, 28468.88, 28166.38, 28230.61
10/11/21, 27977.57, 28581.36, 27893.32, 28498.20
10/08/21, 28031.37, 28321.35, 28018.89, 28048.94
10/07/21, 27665.97, 28015.11, 27607.97, 27678.21
10/06/21, 28033.91, 28209.82, 27293.62, 27528.87
10/05/21, 28050.39, 28058.67, 27460.29, 27822.12
10/04/21, 29044.47, 29046.06, 28343.58, 28444.89
10/01/21, 29235.11, 29393.67, 28680.73, 28771.07
09/30/21, 29569.19, 29622.27, 29311.34, 29452.66
09/29/21, 29611.92, 29679.26, 29329.16, 29544.29
